"ID_sample","identifier"
"544","Sample 11"
"545","Sample 53"
"546","Sample 13"
"547","Sample 46"
"548","Sample 21"
"549","Sample 52"
"550","Sample 15"
"551","Sample 21"
"552","Sample 24"
"553","Sample 147"
"554","Sample 35"
"555","Sample 24"
"556","Sample 31"
"557","Sample 31"
"558","Sample 11"
"559","Sample 28"
"560","Sample 27"
"561","Sample 29"
"562","Sample 29"
"563","Sample 19"
"564","Sample 48"
"565","Sample 15"
"566","Sample 30"
"567","Sample 11"
"568","Sample 53"
"569","Sample 13"
"570","Sample 46"
"571","Sample 21"
"572","Sample 52"
"573","Sample 15"
"574","Sample 21"
"575","Sample 24"
"576","Sample 147"
"577","Sample 35"
"578","Sample 24"
"579","Sample 31"
"580","Sample 31"
"581","Sample 11"
"582","Sample 28"
"583","Sample 27"
"584","Sample 29"
"585","Sample 29"
"586","Sample 19"
"587","Sample 48"
"588","Sample 15"
"589","Sample 30"
"590","Sample 11"
"591","Sample 53"
"592","Sample 13"
"593","Sample 46"
"594","Sample 21"
"595","Sample 52"
"596","Sample 15"
"597","Sample 21"
"598","Sample 24"
"599","Sample 147"
"600","Sample 35"
"601","Sample 24"
"602","Sample 31"
"603","Sample 31"
"604","Sample 11"
"605","Sample 28"
"606","Sample 27"
"607","Sample 29"
"608","Sample 29"
"609","Sample 19"
"610","Sample 48"
"611","Sample 15"
"612","Sample 30"
"613","Sample 11"
"614","Sample 53"
"615","Sample 13"
"616","Sample 46"
"617","Sample 21"
"618","Sample 52"
"619","Sample 15"
"620","Sample 21"
"621","Sample 24"
"622","Sample 147"
"623","Sample 35"
"624","Sample 24"
"625","Sample 31"
"626","Sample 31"
"627","Sample 11"
"628","Sample 28"
"629","Sample 27"
"630","Sample 29"
"631","Sample 29"
"632","Sample 19"
"633","Sample 48"
"634","Sample 15"
"635","Sample 30"
"636","Sample 11"
"637","Sample 53"
"638","Sample 13"
"639","Sample 46"
"640","Sample 21"
"641","Sample 52"
"642","Sample 15"
"643","Sample 21"
"644","Sample 24"
"645","Sample 147"
"646","Sample 35"
"647","Sample 24"
"648","Sample 31"
"649","Sample 31"
"650","Sample 11"
"651","Sample 28"
"652","Sample 27"
"653","Sample 29"
"654","Sample 29"
"655","Sample 19"
"656","Sample 48"
"657","Sample 15"
"658","Sample 30"
"659","Sample 11"
"660","Sample 53"
"661","Sample 13"
"662","Sample 46"
"663","Sample 21"
"664","Sample 52"
"665","Sample 15"
"666","Sample 21"
"667","Sample 24"
"668","Sample 147"
"669","Sample 35"
"670","Sample 24"
"671","Sample 31"
"672","Sample 31"
"673","Sample 11"
"674","Sample 28"
"675","Sample 27"
"676","Sample 29"
"677","Sample 29"
"678","Sample 19"
"679","Sample 48"
"680","Sample 15"
"681","Sample 30"
"682","Sample 11"
"683","Sample 53"
"684","Sample 13"
"685","Sample 46"
"686","Sample 21"
"687","Sample 52"
"688","Sample 15"
"689","Sample 21"
"690","Sample 24"
"691","Sample 147"
"692","Sample 35"
"693","Sample 24"
"694","Sample 31"
"695","Sample 31"
"696","Sample 11"
"697","Sample 28"
"698","Sample 27"
"699","Sample 29"
"700","Sample 29"
"701","Sample 19"
"702","Sample 48"
"703","Sample 15"
"704","Sample 30"
"705","Sample 11"
"706","Sample 53"
"707","Sample 13"
"708","Sample 46"
"709","Sample 21"
"710","Sample 52"
"711","Sample 15"
"712","Sample 21"
"713","Sample 24"
"714","Sample 147"
"715","Sample 35"
"716","Sample 24"
"717","Sample 31"
"718","Sample 31"
"719","Sample 11"
"720","Sample 28"
"721","Sample 27"
"722","Sample 29"
"723","Sample 29"
"724","Sample 19"
"725","Sample 48"
"726","Sample 15"
"727","Sample 30"
"728","Sample 11"
"729","Sample 53"
"730","Sample 13"
"731","Sample 46"
"732","Sample 21"
"733","Sample 52"
"734","Sample 15"
"735","Sample 21"
"736","Sample 24"
"737","Sample 147"
"738","Sample 35"
"739","Sample 24"
"740","Sample 31"
"741","Sample 31"
"742","Sample 11"
"743","Sample 28"
"744","Sample 27"
"745","Sample 29"
"746","Sample 29"
"747","Sample 19"
"748","Sample 48"
"749","Sample 15"
"750","Sample 30"
"751","Sample 11"
"752","Sample 53"
"753","Sample 13"
"754","Sample 46"
"755","Sample 21"
"756","Sample 52"
"757","Sample 15"
"758","Sample 21"
"759","Sample 24"
"760","Sample 147"
"761","Sample 35"
"762","Sample 24"
"763","Sample 31"
"764","Sample 31"
"765","Sample 11"
"766","Sample 28"
"767","Sample 27"
"768","Sample 29"
"769","Sample 29"
"770","Sample 19"
"771","Sample 48"
"772","Sample 15"
"773","Sample 30"
"774","Sample 11"
"775","Sample 53"
"776","Sample 13"
"777","Sample 46"
"778","Sample 21"
"779","Sample 52"
"780","Sample 15"
"781","Sample 21"
"782","Sample 24"
"783","Sample 147"
"784","Sample 35"
"785","Sample 24"
"786","Sample 31"
"787","Sample 31"
"788","Sample 11"
"789","Sample 28"
"790","Sample 27"
"791","Sample 29"
"792","Sample 29"
"793","Sample 19"
"794","Sample 48"
"795","Sample 15"
"796","Sample 30"
"797","Sample 11"
"798","Sample 53"
"799","Sample 13"
"800","Sample 46"
"801","Sample 21"
"802","Sample 52"
"803","Sample 15"
"804","Sample 21"
"805","Sample 24"
"806","Sample 147"
"807","Sample 35"
"808","Sample 24"
"809","Sample 31"
"810","Sample 31"
"811","Sample 11"
"812","Sample 28"
"813","Sample 27"
"814","Sample 29"
"815","Sample 29"
"816","Sample 19"
"817","Sample 48"
"818","Sample 15"
"819","Sample 30"
"820","Sample 11"
"821","Sample 53"
"822","Sample 13"
"823","Sample 46"
"824","Sample 21"
"825","Sample 52"
"826","Sample 15"
"827","Sample 21"
"828","Sample 24"
"829","Sample 147"
"830","Sample 35"
"831","Sample 24"
"832","Sample 31"
"833","Sample 31"
"834","Sample 11"
"835","Sample 28"
"836","Sample 27"
"837","Sample 29"
"838","Sample 29"
"839","Sample 19"
"840","Sample 48"
"841","Sample 15"
"842","Sample 30"
"843","Sample 11"
"844","Sample 53"
"845","Sample 13"
"846","Sample 46"
"847","Sample 21"
"848","Sample 52"
"849","Sample 15"
"850","Sample 21"
"851","Sample 24"
"852","Sample 147"
"853","Sample 35"
"854","Sample 24"
"855","Sample 31"
"856","Sample 31"
"857","Sample 11"
"858","Sample 28"
"859","Sample 27"
"860","Sample 29"
"861","Sample 29"
"862","Sample 19"
"863","Sample 48"
"864","Sample 15"
"865","Sample 30"
"866","Sample 11"
"867","Sample 53"
"868","Sample 13"
"869","Sample 46"
"870","Sample 21"
"871","Sample 52"
"872","Sample 15"
"873","Sample 21"
"874","Sample 24"
"875","Sample 147"
