"subsample","n_total","alpha","xmin","p","n_tail"
"583",78,2.43672881144322,4.617,0.92,35.188
"584",25,3.55595103790905,3.678,0.567,12.782
"585",92,2.41312690992308,3.434,0.938,43.948
"586",92,2.14620415790662,4.122,0.657,48.069
"587",51,3.06971692566022,5.973,0.829,22.998
"588",22,1.83599085478267,1.274,0.442,20.534
"589",46,2.44558124572348,3.074,0.365,25.273
"59",379,2.46084816330212,5.504,0.243,110.871
"590",160,2.19143033408339,3.401,0.08,81.469
"591",29,2.15220494198019,1.934,0.209,21.507
"592",133,2.25207252649523,5.168,0.478,63.833
"593",55,4.37132097832006,4.641,0.269,27.466
"594",46,1.96603348340444,2.442,0.027,31.419
"595",66,1.9813670311913,2.408,0.261,43.237
"596",24,3.64378659209818,3.263,0.502,14.674
"597",84,2.46528834336335,3.959,0.664,41.479
"598",30,3.13850645931005,3.384,0.756,17.542
"599",94,2.49523655150313,5.081,0.719,37.784
"6",92,2.69644385880427,4.024,0.147,41.937
"60",78,2.04240144427654,2.339,0.144,49.673
"600",123,2.39892465309519,3.835,0.733,60.985
"601",93,2.11877385097668,2.974,0.39,55.783
"602",108,2.34358252503511,3.36,0.942,54.279
"603",63,2.27829565466135,3.247,0.598,33.209
"604",10,1.99274868871381,1.42,0.859,9.30666666666667
"605",31,2.36631291837205,3.473,0.159,20.808
"606",71,2.2982329017611,3.101,0.525,38.794
"607",54,2.5353256166992,3.121,0.134,28.422
"608",139,2.03106786159283,2.306,0.273,101.624
"609",88,2.19354562854741,3.502,0.842,45.983
"61",78,2.95942502749361,3.99,0.375,35.064
"610",379,2.15214936937928,5.447,0.53,131.826
"611",78,2.00484542869052,2.37,0.195,51.081
"612",78,2.29715916966928,3.28,0.459,43.346
"613",25,2.04584040760891,1.938,0.606,19.476
"614",92,2.8984062266133,6.222,0.552,37.087
"615",92,2.28986542297542,4.536,0.374,41.898
"616",51,1.66994346343651,1.269,0.027,48.269
"617",22,1.91205110654423,1.282,0.186,20.372
"618",46,1.68257244078731,1.273,0.008,43.322
"619",160,2.06542875279273,3.329,0.104,75.805
"62",25,2.423957844272,2.299,0.125,17.796
"620",29,4.22926462749887,5.548,0.395,12.404
"621",133,2.2216570628742,3.252,0.443,61.97
"622",55,3.36519618591927,6.378,0.672,21.007
"623",46,2.20986371039584,3.206,0.686,26.885
"624",66,2.46734600736717,3.233,0.785,36.821
"625",24,2.77781442926718,2.301,0.422,17.497
"626",84,2.28492955500653,3.241,0.141,45.21
"627",30,2.41721781546742,2.424,0.45,20.379
"628",94,3.02358133830583,5.216,0.769,32.707
"629",123,1.94686682267483,2.998,0.026,70.193
"63",92,2.22542249288628,3.366,0.016,47.18
"630",93,2.15352938393842,2.919,0.615,49.527
"631",108,2.02321818263542,3.008,0.654,57.804
"632",63,2.21945849312285,3.065,0.651,34.633
"633",10,2.85394085465859,2.048,0.389,8.78607983623337
"634",31,3.45589666695156,4.011,0.187,15.79
"635",71,2.56024780688839,4.5,0.097,33.815
"636",54,1.78401131993403,2.547,0.051,38.094
"637",139,2.75166978824963,4.422,0.247,53.342
"638",88,2.90170722135012,3.708,0.278,36.232
"639",379,2.28020825647836,4.886,0.088,124.786
"64",92,2.20655824113539,3.401,0.709,46.98
"640",78,2.06045516272802,2.409,0.275,54.47
"641",78,2.49632110478743,3.261,0.856,36.692
"642",25,2.17343566845128,2.421,0.917,18.148
"643",92,2.82228861236346,3.687,0.273,39.911
"644",92,2.23545235396584,2.275,0.158,56.658
"645",51,2.68858927894819,3.143,0.728,26.663
"646",22,3.27070320733305,3.278,0.18,12.533
"647",46,2.09887387055009,2.376,0.035,31.551
"648",160,3.52295034191065,6.626,0.337,45.755
"649",29,1.73026188567792,1.327,0.146,27.067
"65",51,2.44434375108447,3.256,0.16,26.491
"650",133,2.12387028251898,2.982,0.375,79.656
"651",55,1.86172978854907,2.293,0.035,38.691
"652",46,2.15104483803757,2.394,0.55,30.619
"653",66,2.32716946387183,2.979,0.573,36.186
"654",24,2.29255443209434,1.837,0.249,18.053
"655",84,2.55143219545902,3.277,0.373,41.787
"656",30,2.18367272943491,2.475,0.447,21.5
"657",94,2.52751064526962,3.293,0.888,48.298
"658",123,2.00035323613248,3.287,0.386,64.707
"659",93,2.32489081268952,3.438,0.917,48.434
"66",22,2.35620272278086,3.478,0.238,15.481
"660",108,2.1601364331928,3.496,0.798,55.858
"661",63,1.99207220644958,2.307,0.001,40.952
"662",10,2.94435658272882,2.58,0.243,7.43443443443443
"663",31,2.87212970209519,2.958,0.569,17.169
"664",71,2.03225242786836,2.439,0.489,46.531
"665",54,2.16155260570334,3.08,0.044,31.268
"666",139,2.16704529539856,4.405,0.694,61.71
"667",88,2.16389966417959,3.339,0.543,49.098
"668",379,2.32973940793385,6.458,0.78,126.386
"669",78,3.25859330369031,5.316,0.83,32.311
"67",46,2.6718819952322,5.277,0.946,21.19
"670",78,2.31433626688662,3.405,0.486,40.091
"671",25,1.72266356693466,1.455,0.105,23.359
"672",92,2.76223177353991,7.129,0.809,34.339
"673",92,1.75208050959755,1.169,0.009,86.973
"674",51,2.10079365841531,2.288,0.483,33.569
"675",22,2.10732989678088,2.112,0.623,16.677
"676",46,2.26361908422978,3.532,0.45,27.139
"677",160,2.16807083503484,3.429,0.147,74.987
"678",29,1.98908034831645,2.146,0.24,21.482
"679",133,2.24554757549508,3.27,0.338,67.067
"68",160,1.98086006580615,2.304,0.022,97.433
"680",55,2.59335071659153,3.021,0.344,27.579
"681",46,1.96189340232248,2.501,0.888,33.909
"682",66,2.31794365689382,4.342,0.773,31.6
"683",24,2.33292902378509,3.344,0.49,17.067
"684",84,2.55219427467901,6.094,0.711,32.631
"685",30,2.6103799554684,3.364,0.461,17.551
"686",94,2.26757997512339,3.346,0.311,47.91
"687",123,2.07693272503972,4.052,0.802,59.867
"688",93,2.77479113643388,4.763,0.586,34.593
"689",108,2.16973544507507,3.221,0.823,54.285
"69",29,2.33511336157239,2.841,0.872,18.517
"690",63,2.30985840016974,3.413,0.819,35.386
"691",10,2.95846338832278,3.055,0.075,8.36746987951807
"692",31,2.03403721725447,2.095,0.351,22.543
"693",71,2.14142218605856,3.474,0.284,37.917
"694",54,1.96636588713245,2.524,0.007,43.528
"695",139,2.75958801986069,4.473,0.429,53.885
"696",88,2.62176952179192,5.306,0.127,33.975
"697",379,2.88685127594685,7.135,0.699,83.86
"698",78,2.55727532667944,7.07,0.966,38.241
"699",78,1.96159295857499,2.343,0.043,50.3
"7",51,2.56827057015455,4.083,0.394,25.943
"70",133,2.11416336978686,3.108,0.413,76.204
"700",25,3.58680695796361,3.782,0.427,13.003
"701",92,2.50513034207694,3.858,0.122,40.489
"702",92,2.18152128268982,3.669,0.619,50.743
"703",51,2.14333059004637,2.158,0.204,33.253
"704",22,1.76547013532017,2.205,0.067,18.027
"705",46,2.34662018013251,2.798,0.317,27.14
"706",160,2.27475713473263,5.512,0.366,61.04
"707",29,1.73160036377658,1.327,0.141,27.066
"708",133,2.41506060766222,4.746,0.432,55.948
"709",55,2.18400653894513,3.502,0.044,33.842
"71",55,2.04226930216968,2.564,0.869,35.628
"710",46,2.78043565496149,3.651,0.917,23.507
"711",66,1.99885062694517,2.44,0.51,42.932
"712",24,3.18769826919009,2.181,0.968,17.809
"713",84,2.68472364800295,4.342,0.477,35.21
"714",30,3.51624428012472,2.909,0.08,15.005
"715",94,2.0866402122679,2.286,0.984,59.517
"716",123,1.99225956566075,2.332,0.072,77.399
"717",93,1.98924484418312,2.204,0.375,57.934
"718",108,2.20781981882359,3.163,0.119,58.127
"719",63,1.97416108456017,2.432,0.488,44.061
"72",46,2.09376494979873,3.512,0.086,27.081
"720",10,1.99927680987708,1.489,0.389,9.28163265306122
"721",31,2.73677824720208,3.536,0.798,18.225
"722",71,3.93205221435566,8.049,0.635,23.415
"723",54,2.20037213240706,2.251,0.536,34.079
"724",139,2.01872139091811,2.333,0.385,83.496
"725",88,2.13835890296201,3.663,0.484,50.052
"726",379,2.48901431315336,5.525,0.486,107.104
"727",78,2.26313331029138,2.321,0.98,51.172
"728",78,2.61513177022306,4.333,0.285,37.121
"729",25,2.16199738272284,2.322,0.997,17.992
"73",66,2.55154895416059,5.52,0.553,33.943
"730",92,1.97231042399853,3.081,0.132,53.469
"731",92,2.03184541958268,2.371,0.099,57.007
"732",51,2.45018104920685,2.217,0.831,32.084
"733",22,1.66146861293739,1.546,0.34,20.18
"734",46,2.77806449450311,3.319,0.578,23.91
"735",160,2.12222075678301,2.277,0.001,103.359
"736",29,2.19958474335941,2.29,0.086,20.197
"737",133,3.83651578811903,8.256,0.931,39.468
"738",55,1.93706745706976,2.922,0.109,34.853
"739",46,2.37320301574877,2.912,0.418,26.368
"74",24,3.63179015754773,4.411,0.556,13.594
"740",66,2.70622156782772,4.567,0.297,29.353
"741",24,1.94662494175847,1.235,0.476,22.611
"742",84,2.27831883800144,3.131,0.284,42.367
"743",30,3.27192827915079,5.819,0.405,18.364
"744",94,2.25102211296327,3.2,0.046,54.144
"745",123,2.15105441481726,3.156,0.744,64.074
"746",93,2.54582994032028,3.198,0.379,43.766
"747",108,2.45096029930955,3.277,0.607,54.577
"748",63,2.08399083553202,2.36,0.322,43.158
"749",10,2.2649903601829,1.653,0.469,8.45
"75",84,4.08916754258128,7.075,0.109,23.242
"750",31,3.15075208916757,5.233,0.643,14.849
"751",71,1.99697697440586,2.436,0.034,46.96
"752",54,2.17752300685458,2.805,0.677,32.087
"753",139,2.61124731224245,5.013,0.312,58.783
"754",88,2.25604110770877,3.741,0.513,44.203
"755",379,2.44349225209969,5.315,0.139,115.658
"756",78,2.62200532733068,4.614,0.318,34.921
"757",78,2.49188093638446,3.928,0.483,37.003
"758",25,2.1916462244203,2.287,0.213,17.905
"759",92,2.26547557071945,3.063,0.209,48.998
"76",30,1.75903130305539,1.257,0.004,28.268
"760",92,2.64933172782889,6.928,0.712,37.669
"761",51,4.13820593529666,6.89,0.564,18.058
"762",22,2.28608086730545,3.449,0.041,14.541
"763",46,1.92272212741815,3.15,0.784,29.952
"764",160,2.03465585830104,2.357,0.155,108.617
"765",29,4.37381919051841,4.301,0.851,12.794
"766",133,2.71137633141585,4.484,0.479,49.025
"767",55,2.08912658515633,2.822,0.098,34.04
"768",46,2.09230804733794,2.043,0.653,31.805
"769",66,1.98099659424886,2.453,0.21,44.197
